date,close,low,open,sma_50,sma_200,sma_10,ema_10,upper_bb,middle_bb,obv,log_close,low_atr_pct
2020-01-02,3257.85009765625,3235.530029296875,3244.669921875,,,3257.85009765625,3257.85009765625,,,3459930000.0,8.088822777562113,
2020-01-03,3234.85009765625,3222.340087890625,3226.360107421875,,,3246.35009765625,3253.668279474432,,,-24770000.0,8.081737868197159,
2020-01-06,3246.280029296875,3214.639892578125,3217.550048828125,,,3246.3267415364585,3252.324961260331,,,3677690000.0,8.085265013391432,
2020-01-07,3237.179931640625,3232.429931640625,3241.860107421875,,,3244.0400390625,3249.571319511293,,,241780000.0,8.082457838306837,
2020-01-08,3253.050048828125,3236.669921875,3238.590087890625,,,3245.842041015625,3250.203815750717,,,3968620000.0,8.087348311792478,
2020-01-09,3274.699951171875,3263.669921875,3266.030029296875,,,3250.6516927083335,3254.6576585545636,,,7609850000.0,8.093981525909385,
2020-01-10,3265.35009765625,3260.860107421875,3281.81005859375,,,3252.75146484375,3256.601738391234,,,4395270000.0,8.091122263421878,
2020-01-13,3288.1298828125,3268.429931640625,3271.1298828125,,,3257.1737670898438,3262.334128286009,,,7854660000.0,8.098074257467813,
2020-01-14,3283.14990234375,3277.18994140625,3285.35009765625,,,3260.060004340278,3266.1188144783255,,,4167040000.0,8.096558576630917,
2020-01-15,3289.2900390625,3280.68994140625,3282.27001953125,,,3262.9830078125,3270.3317644027206,,,7888530000.0,8.098427026874605,
2020-01-16,3316.81005859375,3302.820068359375,3302.969970703125,,,3268.87900390625,3278.782363346544,,,11429110000.0,8.106758774296837,
2020-01-17,3329.6201171875,3318.860107421875,3323.659912109375,,,3278.356005859375,3288.025591317627,,,15155330000.0,8.110613497544321,
2020-01-21,3320.7900390625,3316.610107421875,3321.030029296875,,,3285.8070068359375,3293.9827636348764,,,11050490000.0,8.107957997174736,
2020-01-22,3321.75,3320.0400390625,3330.02001953125,,,3294.264013671875,3299.031352064899,,,14674270000.0,8.108247031471418,
2020-01-23,3325.5400390625,3301.8701171875,3315.77001953125,,,3301.5130126953127,3303.8511133371894,,,18440980000.0,8.109387357664776,148.52274563513168
2020-01-24,3295.469970703125,3281.530029296875,3333.10009765625,,,3303.5900146484373,3302.3272692219048,,,14732200000.0,8.100304068238582,140.33072000608527
2020-01-27,3243.6298828125,3234.5,3247.159912109375,,,3301.4179931640624,3291.6550171474673,,,10901150000.0,8.084448315881739,127.1460746866577
2020-01-28,3276.239990234375,3253.219970703125,3255.35009765625,,,3300.22900390625,3288.8522849814503,,,14432720000.0,8.094451699382091,118.46831374765434
2020-01-29,3273.39990234375,3271.889892578125,3289.4599609375,,,3299.25400390625,3286.0427608655045,,,10832470000.0,8.093584449238506,121.9458837965966
2020-01-30,3283.659912109375,3242.800048828125,3256.449951171875,,,3298.6909912109377,3285.6095156371175,3340.0791595411,3280.8369995117187,14622820000.0,8.096713906168716,114.58390521008113
2020-01-31,3225.52001953125,3214.679931640625,3282.330078125,,,3289.5619873046876,3274.684152708778,3342.5094781291555,3279.220495605469,10093120000.0,8.078849462597354,101.5789904070541
2020-02-03,3248.919921875,3235.659912109375,3235.659912109375,,,3281.4919677734374,3269.999747102637,3341.5145235910463,3279.9239868164063,13853580000.0,8.086077888358586,97.79639744579697
2020-02-04,3297.590087890625,3280.610107421875,3280.610107421875,,,3279.17197265625,3275.016172700453,3342.5153345880085,3282.4894897460936,17850480000.0,8.100947204276093,91.10285986861699
2020-02-05,3334.68994140625,3313.75,3324.909912109375,,,3280.465966796875,3285.8659488287794,3347.717341046046,3287.364990234375,21971960000.0,8.112134982935066,88.17194542001504
2020-02-06,3345.780029296875,3334.389892578125,3344.919921875,,,3282.4899658203126,3296.7594180047968,3355.273742834845,3292.0014892578124,25859210000.0,8.115455137992068,91.19085588814474
2020-02-07,3327.7099609375,3322.1201171875,3335.5400390625,,,3285.71396484375,3302.3867894471064,3359.230839281093,3294.651989746094,22125290000.0,8.110039646982608,89.01382795102043
2020-02-10,3352.090087890625,3317.77001953125,3318.280029296875,,,3296.5599853515623,3311.4237528004733,3366.689036494801,3298.9889892578126,25588020000.0,8.117339337103182,85.41368671894782
2020-02-11,3357.75,3352.719970703125,3365.8701171875,,,3304.710986328125,3319.846706836751,3374.5935975428492,3302.4699951171874,29350960000.0,8.119026385789185,85.40106279158917
