date,close,high,low,open,volume,sma_50,sma_200,golden_cross,death_cross,daily_return,rolling_volatility,rolling_vol,returns,egarch_vol
2020-01-02,3257.85009765625,3258.139892578125,3235.530029296875,3244.669921875,3459930000.0,,,0,0,,,,,
2020-01-03,3234.85009765625,3246.14990234375,3222.340087890625,3226.360107421875,3484700000.0,,,0,0,-0.007059870562045378,,,-0.007059870562045378,0.7702790829872863
2020-01-06,3246.280029296875,3246.840087890625,3214.639892578125,3217.550048828125,3702460000.0,,,0,0,0.0035333728907271933,,,0.0035333728907271933,0.7970409935981139
2020-01-07,3237.179931640625,3244.909912109375,3232.429931640625,3241.860107421875,3435910000.0,,,0,0,-0.0028032386528962228,,,-0.0028032386528962228,0.7656577276069065
2020-01-08,3253.050048828125,3267.070068359375,3236.669921875,3238.590087890625,3726840000.0,,,0,0,0.004902451368978156,,,0.004902451368978156,0.7529229345117533
2020-01-09,3274.699951171875,3275.580078125,3263.669921875,3266.030029296875,3641230000.0,,,0,0,0.006655262605488987,,,0.006655262605488987,0.7393691820169163
2020-01-10,3265.35009765625,3282.989990234375,3260.860107421875,3281.81005859375,3214580000.0,,,0,0,-0.002855178689662563,,,-0.002855178689662563,0.7437428601842827
2020-01-13,3288.1298828125,3288.1298828125,3268.429931640625,3271.1298828125,3459390000.0,,,0,0,0.006976215252569862,,,0.006976215252569862,0.7341759966975031
2020-01-14,3283.14990234375,3294.25,3277.18994140625,3285.35009765625,3687620000.0,,,0,0,-0.001514532772802224,,,-0.001514532772802224,0.7422151304570905
2020-01-15,3289.2900390625,3298.659912109375,3280.68994140625,3282.27001953125,3721490000.0,,,0,0,0.0018701968845122874,,,0.0018701968845122874,0.7205834392044778
2020-01-16,3316.81005859375,3317.110107421875,3302.820068359375,3302.969970703125,3540580000.0,,,0,0,0.00836655302646827,,,0.00836655302646827,0.6835681586691611
2020-01-17,3329.6201171875,3329.8798828125,3318.860107421875,3323.659912109375,3726220000.0,,,0,0,0.003862162248501333,,,0.003862162248501333,0.7111933067273014
2020-01-21,3320.7900390625,3329.7900390625,3316.610107421875,3321.030029296875,4104840000.0,,,0,0,-0.0026519776473655776,,,-0.0026519776473655776,0.6931574542875109
2020-01-22,3321.75,3337.77001953125,3320.0400390625,3330.02001953125,3623780000.0,,,0,0,0.0002890760711180551,,,0.0002890760711180551,0.6878001048330066
2020-01-23,3325.5400390625,3326.8798828125,3301.8701171875,3315.77001953125,3766710000.0,,,0,0,0.0011409766124783616,,,0.0011409766124783616,0.6563514376633308
2020-01-24,3295.469970703125,3333.179931640625,3281.530029296875,3333.10009765625,3708780000.0,,,0,0,-0.009042160974207403,,,-0.009042160974207403,0.6208992468751682
2020-01-27,3243.6298828125,3258.85009765625,3234.5,3247.159912109375,3831050000.0,,,0,0,-0.015730711659182384,,,-0.015730711659182384,0.6868270067798541
2020-01-28,3276.239990234375,3285.780029296875,3253.219970703125,3255.35009765625,3531570000.0,,,0,0,0.010053584595046017,,,0.010053584595046017,0.8149134906843524
2020-01-29,3273.39990234375,3293.469970703125,3271.889892578125,3289.4599609375,3600250000.0,,,0,0,-0.0008668741908683941,,,-0.0008668741908683941,0.8418940144599979
2020-01-30,3283.659912109375,3285.909912109375,3242.800048828125,3256.449951171875,3790350000.0,,,0,0,0.003134358792605374,,,0.003134358792605374,0.802169298083245
2020-01-31,3225.52001953125,3282.330078125,3214.679931640625,3282.330078125,4529700000.0,,,0,0,-0.01770582037552626,,,-0.01770582037552626,0.7665844485467758
2020-02-03,3248.919921875,3268.43994140625,3235.659912109375,3235.659912109375,3760460000.0,,,0,0,0.007254613892351713,0.0340041188625243,0.11779372307300663,0.007254613892351713,0.9036913724172387
2020-02-04,3297.590087890625,3306.919921875,3280.610107421875,3280.610107421875,3996900000.0,,,0,0,0.014980414164082134,0.03633347216338916,0.12586283960475905,0.014980414164082134,0.8924395894001899
2020-02-05,3334.68994140625,3337.580078125,3313.75,3324.909912109375,4121480000.0,,,0,0,0.01125059589785371,0.037704395608741996,0.13061185772603603,0.01125059589785371,0.9569710709819805
2020-02-06,3345.780029296875,3347.9599609375,3334.389892578125,3344.919921875,3887250000.0,,,0,0,0.003325672876785646,0.03749947178599796,0.1299019807806882,0.003325672876785646,0.9758271191893176
2020-02-07,3327.7099609375,3341.419921875,3322.1201171875,3335.5400390625,3733920000.0,,,0,0,-0.005400853672730133,0.03796065450731245,0.13149956459046735,-0.005400853672730133,0.9195902576013053
2020-02-10,3352.090087890625,3352.260009765625,3317.77001953125,3318.280029296875,3462730000.0,,,0,0,0.007326397804890528,0.038069300523831964,0.1318759254317709,0.007326397804890528,0.9108661870834271
2020-02-11,3357.75,3375.6298828125,3352.719970703125,3365.8701171875,3762940000.0,,,0,0,0.0016884725532351208,0.03783834018021114,0.13107585533240124,0.0016884725532351208,0.899315121579182
2020-02-12,3379.449951171875,3381.469970703125,3369.719970703125,3370.5,3930910000.0,,,0,0,0.006462646466197652,0.0377617407487671,0.1308105071182173,0.006462646466197652,0.8387668999832281
2020-02-13,3373.93994140625,3385.090087890625,3360.52001953125,3365.89990234375,3500890000.0,,,0,0,-0.0016304457368023773,0.0377711105928673,0.1308429652102984,-0.0016304457368023773,0.8287541543340095
2020-02-14,3380.159912109375,3380.68994140625,3366.14990234375,3378.080078125,3419700000.0,,,0,0,0.0018435333204338544,0.037770721251398076,0.130841616491886,0.0018435333204338544,0.7975086194357675
2020-02-18,3370.2900390625,3375.010009765625,3355.610107421875,3369.0400390625,3750400000.0,,,0,0,-0.002919942636890105,0.0372459035310953,0.1290235945793322,-0.002919942636890105,0.7510659920684221
2020-02-19,3386.14990234375,3393.52001953125,3378.830078125,3380.389892578125,3614200000.0,,,0,0,0.004705785881164548,0.03732834692084126,0.12930918685890866,0.004705785881164548,0.7411995259427541
2020-02-20,3373.22998046875,3389.14990234375,3341.02001953125,3380.449951171875,4019180000.0,,,0,0,-0.00381551976362815,0.0374603298332478,0.12976638907894672,-0.00381551976362815,0.7272715308005818
